,Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent
2,crm gratuito,2400,36,"2,8","0,79",10900000,Commercial
3,crm gratis,1900,36,"2,8","0,79",26500000,Commercial
4,crms gratuitos,1900,35,"2,8","0,79",18400,Commercial
8,crm de vendas,1300,36,"2,68","0,64",9870000,Commercial
9,sistemas crm,1300,45,"1,14","0,45",15000000,"Informational, Commercial"
10,crm gratuitos,1300,33,"2,8","0,79",4370000,Commercial
11,crms,1000,40,"0,64","0,27",10500000,"Informational, Commercial"
12,crm para empresas,1000,35,"2,97","0,72",28300000,Commercial
13,crm gratuitas,1000,39,0,0,32500000,"Informational, Commercial"
14,ferramenta crm,880,44,"1,29","0,43",6280000,Commercial
15,ferramentas crm,880,42,"1,29","0,43",10400000,"Informational, Commercial"
16,crm empresa,720,45,"1,5","0,34",27000000,"Informational, Commercial"
17,ferramentas de crm,720,46,"1,57","0,41",9390000,"Informational, Commercial"
18,software crm,720,41,"1,56","0,5",320000000,"Informational, Commercial"
20,plataforma crm,590,45,"1,48","0,54",11300000,"Informational, Commercial"
21,melhores crm do mercado,590,33,"3,22","0,81",4660000,Commercial
22,crm brasileiro,590,21,"2,08","0,76",5540000,Commercial
23,tipos de crm,590,20,"0,32","0,23",28700000,"Informational, Commercial"
24,crm softwares,480,46,"1,55","0,46",6810000,"Informational, Commercial"
25,crm online,480,40,"2,22","0,57",391000000,Commercial
26,crm comercial,390,38,"2,61","0,63",18700000,"Informational, Commercial"
27,plataforma de crm,390,44,"2,02","0,56",12900000,"Informational, Commercial"
28,melhores crm,390,34,"2,48","0,76",13500000,Commercial
29,ferramenta de crm,320,47,"1,83","0,5",7540000,"Informational, Commercial"
30,programa crm,320,44,"1,34","0,46",19300000,"Informational, Commercial"
31,software de crm,320,40,"1,62","0,53",322000000,"Informational, Commercial"
32,crm exemplo,320,21,"0,49","0,2",2360,"Informational, Commercial"
33,experiencia em crm,320,27,"0,17","0,35",13300000,"Informational, Commercial"
36,crm para vendas,260,32,"4,01","0,66",11300000,"Informational, Commercial"
37,plataformas crm,260,36,"1,48","0,54",6970000,Commercial
38,crm plataforma,260,41,"1,53","0,48",19500000,"Informational, Commercial"
39,plataformas de crm,260,42,"2,02","0,56",7340000,"Informational, Commercial"
40,crm ferramenta,260,47,"1,32","0,36",9480000,"Informational, Commercial"
41,sistema cmr,170,42,"1,14","0,45",41000000,"Informational, Commercial"
